id,nome,endereco,bairro,cidade,uf,capacidade_pessoas,mesas_total,instagram,link_reserva,observacoes
LOC-001,Tatu Bola,"Av. Francisco Galassi, 990, Loja 8",Morada da Colina,Uberlândia,MG,,,,,Casa das edições de 27/08 e 10/09/2026. NÃO faz mais parte do projeto a partir de set/2026 — substituído pelo Florindos Bar (LOC-002).
LOC-002,Florindos Bar,"Av. Francisco Galassi, 1551",Morada da Colina,Uberlândia,MG,,,,,"Casa atual da QUINTA HITS a partir de set/2026 (edição 17/09 é a primeira). Endereço confirmado em 15/09/2026. Capacidade, mesas, Instagram e link de reserva a preencher."
