id,nome_artistico,instagram,genero_musical,formato_show,vinculo_gibson,seguidores_instagram,cidade_base,contato,ja_tocou_qh,observacoes
ART-001,Jhean Marcell,,anos 2000,,sim,,,,sim,Vertente fixa na QUINTA HITS: 2000's. Atração da edição 27/08/2026. Base de público usada no público personalizado 'Uberlândia JHEAN'.
ART-002,NETO FOG,@netofog,rock pop,,sim,,,,sim,Vertente fixa na QUINTA HITS: ROCK POP. Atração da edição 10/09/2026 — tema Quinta Hits Pop Rock.
ART-003,DJ Jabá,,dj vinyl,dj set em vinil,,,,,nao,"Vertente fixa na QUINTA HITS: DJ VINYL. Agenda out/nov 2026: 08/10, 05/11, 19/11. Vínculo com a GIBSON e @ a confirmar."
ART-004,Voo Livre,,pop rock / tributo,banda — tributo ao Roupa Nova,,,,,nao,Edição 15/10/2026 — Tributo ao Roupa Nova. Vínculo com a GIBSON e @ a confirmar.
